team,region,country,track,status,year,url
Groningen,Europe,Netherlands,New Application,Accepted,2010,https://2010.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Information Processing,Accepted,2011,https://2011.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Food & Energy,Accepted,2012,https://2012.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Health & Medicine,Accepted,2013,https://2013.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Health & Medicine,Accepted,2014,https://2014.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Energy,Accepted,2015,https://2015.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Information Processing,Accepted,2016,https://2016.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Food & Nutrition,Accepted,2017,https://2017.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,Manufacturing,Accepted,2018,https://2018.igem.org/Team:Groningen/Description
Groningen,Europe,Netherlands,New Application,Accepted,2019,https://2019.igem.org/Team:Groningen/Description
Guadalajara,Latin America,Mexico,Environment,Accepted,2013,https://2013.igem.org/Team:Guadalajara/Description
Guanajuato_Mx,Latin America,Mexico,Manufacturing,Accepted,2016,https://2016.igem.org/Team:Guanajuato_Mx/Description
Guelph,North America,Canada,,Accepted,2008,https://2008.igem.org/Team:Guelph/Description
Guelph,North America,Canada,Diagnostics,Accepted,2019,https://2019.igem.org/Team:Guelph/Description
Gunma,Asia,Japan,Foundational Advance,Accepted,2019,https://2019.igem.org/Team:Gunma/Description
GZHS-United,Asia,China,High School,Accepted,2017,https://2017.igem.org/Team:GZHS-United/Description
GZHS-United,Asia,China,High School,Accepted,2018,https://2018.igem.org/Team:GZHS-United/Description
GZHS-United,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:GZHS-United/Description
H14Z1_Hangzhou,Asia,China,High School,Accepted,2018,https://2018.igem.org/Team:H14Z1_Hangzhou/Description
H4Z-Hangzhou,Asia,China,High School,Accepted,2015,https://2015.igem.org/Team:H4Z-Hangzhou/Description
HAFS,Asia,"Korea, Republic Of",High School,Accepted,2018,https://2018.igem.org/Team:HAFS/Description
HAFS-Korea,Asia,"Korea, Republic Of",High School,Accepted,2015,https://2015.igem.org/Team:HAFS-Korea/Description
HAFS_Bioholics,Asia,"Korea, Republic Of",,Accepted,2012,https://2012.igem.org/Team:HAFS_Bioholics/Description
Hamburg,Europe,Germany,Health & Medicine,Accepted,2015,https://2015.igem.org/Team:Hamburg/Description
Hamburg,Europe,Germany,Diagnostics,Accepted,2016,https://2016.igem.org/Team:Hamburg/Description
Hamburg,Europe,Germany,Therapeutics,Accepted,2017,https://2017.igem.org/Team:Hamburg/Description
Hamburg,Europe,Germany,Environment,Accepted,2018,https://2018.igem.org/Team:Hamburg/Description
Hamburg,Europe,Germany,Foundational Advance,Accepted,2019,https://2019.igem.org/Team:Hamburg/Description
Hamilton_McMaster,North America,Canada,New Application,Accepted,2015,https://2015.igem.org/Team:Hamilton_McMaster/Description
Hangzhou-H14Z,Asia,China,High School,Accepted,2015,https://2015.igem.org/Team:Hangzhou-H14Z/Description
Hangzhou_WestLake,Asia,China,High School,Accepted,2019,https://2019.igem.org/Team:Hangzhou_WestLake/Description
Hannover,Europe,Germany,Environment,Accepted,2014,https://2014.igem.org/Team:Hannover/Description
Hannover,Europe,Germany,New Application,Accepted,2016,https://2016.igem.org/Team:Hannover/Description
Harrisburg_NBT,North America,United States,Environment,Accepted,2014,https://2014.igem.org/Team:Harrisburg_NBT/Description
Harvard,North America,Usa,Foundational Research,Accepted,2007,https://2007.igem.org/Team:Harvard/Description
Harvard,North America,United States,,Accepted,2008,https://2008.igem.org/Team:Harvard/Description
Harvard,North America,United States,New Application,Accepted,2009,https://2009.igem.org/Team:Harvard/Description
Harvard,North America,United States,Food & Energy,Accepted,2010,https://2010.igem.org/Team:Harvard/Description
Harvard,North America,,,Accepted,2006,https://2006.igem.org/Team:Harvard/Description
Harvard,North America,,,Accepted,2005,https://2005.igem.org/Team:Harvard/Description
Harvard,North America,United States,Foundational Advance,Accepted,2011,https://2011.igem.org/Team:Harvard/Description
Harvard,North America,United States,Manufacturing,Accepted,2017,https://2017.igem.org/Team:Harvard/Description
Harvard,North America,United States,New Application,Accepted,2018,https://2018.igem.org/Team:Harvard/Description
Harvard,North America,United States,New Application,Accepted,2019,https://2019.igem.org/Team:Harvard/Description
Harvard_BioDesign,North America,United States,Foundational Advance,Accepted,2014,https://2014.igem.org/Team:Harvard_BioDesign/Description
Harvard_BioDesign,North America,United States,Foundational Advance,Accepted,2015,https://2015.igem.org/Team:Harvard_BioDesign/Description
Harvard_BioDesign,North America,United States,Environment,Accepted,2016,https://2016.igem.org/Team:Harvard_BioDesign/Description
Harvey Mudd,North America,United States,Foundational Advance,Accepted,2012,https://2012.igem.org/Team:Harvey Mudd/Description
Hawaii,North America,United States,,Accepted,2008,https://2008.igem.org/Team:Hawaii/Description
Hawaii,North America,United States,New Application,Accepted,2018,https://2018.igem.org/Team:Hawaii/Description
HBUT-China,Asia,China,Environment,Accepted,2017,https://2017.igem.org/Team:HBUT-China/Description
HBUT-China,Asia,China,Environment,Accepted,2018,https://2018.igem.org/Team:HBUT-China/Description
HBUT-China,Asia,China,Environment,Accepted,2019,https://2019.igem.org/Team:HBUT-China/Description
HebrewU,Asia,Israel,Environment,Accepted,2018,https://2018.igem.org/Team:HebrewU/Description
Heidelberg,Europe,United States,,Accepted,2008,https://2008.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Foundational Advance,Accepted,2009,https://2009.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Health & Medicine,Accepted,2010,https://2010.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Foundational Advance,Accepted,2013,https://2013.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Foundational Advance,Accepted,2014,https://2014.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Foundational Advance,Accepted,2015,https://2015.igem.org/Team:Heidelberg/Description
Heidelberg,Europe,Germany,Foundational Advance,Accepted,2017,https://2017.igem.org/Team:Heidelberg/Description
Heidelberg_LSL,Europe,Germany,,Accepted,2012,https://2012.igem.org/Team:Heidelberg_LSL/Description
Hendrix_Arkansas,North America,United States,Health & Medicine,Accepted,2014,https://2014.igem.org/Team:Hendrix_Arkansas/Description
Hewitt-Trussville,North America,United States,,Accepted,2012,https://2012.igem.org/Team:Hewitt-Trussville/Description
